English,German,In a Sentence,Flip,Audio File
urge,"Antrieb, Drang, Trieb, Verlangen","She moved closer to him, fighting a strong urge to completely surrender to him.",Stapel safe,
to call in sick,krankmelden,Four of our office staff called in sick today.,Stapel safe,
smart,"clever, schlau, gewitzt",I knew he was incredibly funny and incredibly smart.,Stapel safe,
to dismember,"zerlegen, zerstückeln",The police found the dismembered body of a young man in the murderer's freezer.,Stapel safe,
prey,Beute,A hawk hovered in the air before swooping on its prey.,Stapel safe,
pimp,Zuhälter,"The father of the family is 31 years old, and he used to be an alcoholic and a pimp.",Stapel safe,
cabin,"Abteil, Hütte, Kabine, Kammer",My parents own a cabin in the mountains.,Stapel safe,
villain,"Bösewicht, Schuft, Schurke","We've always been told that cholesterol was a major cause of heart disease but, actually, saturated fat is the worst villain.",Stapel safe,
ransom,Lösegeld,They demanded a huge ransom for the return of the little girl whom they had kidnapped.,Stapel safe,
hostage,Geisel,She was taken/held hostage by the gunmen.,Stapel safe,
to give notice,"kündigen, abmelden (mit Frist)",They gave me my notice yesterday.,Stapel safe,
adamant that,"unnachgiebig, fest entschlossen (Meinung oder Position, neutral konnotiert)","Despite mounting pressure from shareholders, the CEO remained adamant that the merger would not go ahead.",Stapel 005,00004_adamant_that.mp3
determined to,"entschlossen, willensstark (Ziel oder Handlung, positiv konnotier)",He was determined to finish the marathon despite the pain.,Stapel 005,00005_determined_to.mp3
stubborn,"uneinsichtig, dickköpfig (negativ konnotiert)","Despite his colleagues' repeated attempts to change his mind, he remained stubborn and refused to consider any alternative approach.",Stapel 005,00006_stubborn.mp3
disdainful,"herablassend, naserümpfend, verächtlich",She gave a disdainful glance at the cheap souvenirs before walking past the stall without a word.,Stapel 005,00007_disdainful.mp3
perpetrator,"Täter, Straftäter",Police are still searching for the perpetrator of last night's break-in.,Stapel 005,00001_perpetrator.mp3
denouement,"Auflösung, Ausgang, Schlussteil einer Handlung","The novel's denouement ties up every loose thread, revealing the identity of the mysterious benefactor.",Stapel 005,00008_denouement.mp3
complacent,"selbstgefällig, selbstzufrieden, nachlässig",The team became complacent after their early lead and ended up losing the match.,Stapel 005,00009_complacent.mp3
tacit,"stillschweigend, unausgesprochen, implizit","By saying nothing, the manager gave his tacit approval to the plan.",Stapel 005,00010_tacit.mp3
zeal,"Eifer, Begeisterung, im Sinne von tatkräftigem Engagement",The new volunteers approached their tasks with remarkable zeal.,Stapel 005,00002_zeal.mp3
incredulity,"Skepsis, Ungläubigkeit","He stared at the results with incredulity, unable to believe he had actually won.",Stapel 005,00011_incredulity.mp3
affable,"umgänglich, freundliche Umgangsart","He's affable and easy-going, the kind of person everyone feels comfortable around.",Stapel 005,00012_affable.mp3
vindictive,"rachsüchtig, nachtragend","She refused to badmouth her ex, despite his vindictive attempts to turn their mutual friends against her.",Stapel 005,00003_vindictive.mp3
to lavish praise on somebody,jemandem Lob spenden / jemanden mit Lob überschütten,Critics lavished praise on the young virtuosos.,Stapel 005,00013_to_lavish_praise_on_somebody.mp3
to be beside oneself with something,außer sich sein vor etw. (z.B. Freude),Critics were beside themselves with delight.,Stapel 005,00014_to_be_beside_oneself_with_something.mp3
barrister,"Prozessanwalt, GB",She was advised to brief a barrister to represent her in court.,Stapel safe,
to take something in one's stride,"etwas gelassen hinnehmen, mit etwas locker umgehen","New parents are often warned about sleepless nights, but few take the exhaustion in their stride as well as she did.",Stapel 005,00015_to_take_something_in_one_s_stride.mp3
CV,Lebenslauf,Please attach an up-to-date CV to your application.,Stapel safe,
against all odds / against the odds ,"entgegen allen Erwartungen, trotz aller Widrigkeiten","Against all odds, the small startup managed to outbid its much larger competitors.",Stapel 004,
to scrape through,"gerade so durchkommen, mit knapper Not schaffen/bestehen",He scraped through his final exams with the lowest possible passing grade.,Stapel 004,
high salary,hohes Gehalt,How much does finding a job with a high salary matter to you?,Stapel 004,
main priority,oberste Priorität,What is the main priority for you when looking for a job?,Stapel 004,
tight deadlines,knappe/enge Fristen,Are you good at meeting tight deadlines?,Stapel 004,
heavy workload,hohe Arbeitsbelastung,Would you be willing to take on a heavy workload?,Stapel 004,
close-knit community,eng verbundene Gemeinschaft,Would you enjoy being part of a close-knit community at work?,Stapel 004,
to be taken aback by somebody or something,"von jemanden oder etwas überrascht, verblüfft, geschockt sein",Have you ever been taken aback by someone's behaviour?,Stapel 004,
to take pleasure in something,"Freude/Vergnügen an etwas haben, sich an etwas erfreuen",What do you take pleasure in?,Stapel 004,
to take pity on somebody,"Mitleid mit jemandem haben, sich jemandes erbarmen",Have you ever helped someone that you took pity on?,Stapel 004,
wide variety,große Vielfalt,How important is it for you to have a wide variety of work to do?,Stapel 004,
to convey normalcy,Normalität vermitteln,She tried to convey a sense of normalcy to the children despite the chaos around them.,Stapel 001,
to contort,"verkrümmen, verbiegen, verzerren. Auch: Die Wahrheit verbiegen! Die Fakten verdrehen.",His face was contorting with pain as he tried to stand up. The lawyer contorted the facts of the scandal. Terribly twisted.,Stapel 001,
lanky,"schlaksig, dürr",The lanky teenager towered over his classmates.,Stapel 001,
to pounce on something,"sich auf etwas stürzen, zuschnappen. ",The cat pounced on the mouse the moment it moved. She pounced on the opportunity before anyone else could.,Stapel 001,
coy,"zurückhaltend, kokett. (Absicht)",She gave a coy smile when asked about her new boyfriend. He was coy about the details of the deal. Achtung : shy für echt schüchtern. He was too shy to ask her to dance.,Stapel 001,
to usurp something,"an sich reißen (Macht, Amt, Thron) meist unrechtmäßig, ohne fehlende Legitimation.",The general usurped the throne after a bloody coup. You usurp positions of force or rights. ,Stapel 001,
to be slow on the uptake,"schwer von Begriff sein, langsam schalten","He's usually quick, but today he was slow on the uptake and missed the joke entirely.",Stapel 001,
to ride shotgun,auf dem Beifahrersitz mitfahren,"I'll drive, you can ride shotgun.",Stapel 001,
humongous,"riesig, gigantisch, monströs groß (umgangsprachlich)",They live in a humongous house with ten bedrooms.,Stapel 001,
perception,Wahrnehmung,Public perception of the scandal shifted after the documentary aired.,Stapel 001,
to perceive,"wahrnehmen, empfinden",He perceived a hint of sarcasm in her voice.,Stapel 001,
to be furloughed,"beurlaubt, in Kurzarbeit/unbezahlten Urlaub geschickt",Thousands of workers were furloughed during the pandemic. ,Stapel 001,
forgery,Fälschung,The signature on the will turned out to be a forgery. The painting turned out to be a clever forgery.,Stapel 001,
sideburns,Koteletten,He grew long sideburns for the role.,Stapel 001,
to appraise,"bewerten, schätzen. Wichtig: Offizieller Character! ""Gutachter"".",The jeweller appraised the ring at over ten thousand pounds.,Stapel 001,
appraiser,"Gutachter, Schätzer",An independent appraiser valued the painting before the auction.,Stapel 002,
effervescent,"sprudelnd, spritzig, lebhaft",Her effervescent personality made her instantly likeable.,Stapel 002,
exuberant,"überschwänglich, ausgelassen",The children greeted us with exuberant enthusiasm.,Stapel 002,
buoyant,"schwungvoll, heiter, florierend",The housing market remained buoyant despite the recession.,Stapel 002,
to break stride,"aus dem Tritt kommen, den Rhythmus/die Ruhe verlieren",She answered the reporter's toughest question without breaking stride and moved straight on to the next point.,Stapel 002,
to put somebody off their stride,"jemanden aus dem Konzept / aus der Fassung bringen, jemanden verunsichern","Nothing puts him off his stride, even when things go wrong live on air.",Stapel 002,
favourable,"günstig, vorteilhaft, positiv",The reviews were overwhelmingly favourable.,Stapel 002,
